name,kind,cleanliness,dev_macro_f1,dev_fit_macro_f1,final_macro_f1,accuracy_dev,accuracy_final,best_dev_macro_f1,best_epoch,task,model_name,group_mode,input_format,notes,trust_for_selection
smoke_clear_boundary_tiny,smoke,smoke,0.25,,,0.3333333333333333,,0.25,1.0,clear_boundary,hf-internal-testing/tiny-random-DebertaV2ForSequenceClassification,,pair,,smoke_sampled
smoke_deberta_base,smoke,smoke,0.15873015873015872,,,0.3125,,0.15873015873015872,1.0,multiclass,microsoft/deberta-v3-base,,pair,,smoke_sampled
smoke_deberta_base_fp32,smoke,smoke,0.24836601307189543,,,0.59375,,0.24836601307189543,1.0,multiclass,microsoft/deberta-v3-base,,pair,,smoke_sampled
smoke_deberta_large_lora,smoke,smoke,0.13333333333333333,,,0.25,,0.13333333333333333,1.0,multiclass,microsoft/deberta-v3-large,,pair,,smoke_sampled
smoke_deberta_large_lora_512,smoke,smoke,0.13333333333333333,,,0.25,,0.13333333333333333,1.0,multiclass,microsoft/deberta-v3-large,,pair,,smoke_sampled
smoke_ensemble,smoke,smoke,0.2481043372763118,,,0.5927536231884057,,,,,,,,,smoke_sampled
smoke_ensemble_with_boundary,smoke,smoke,0.2994566288909393,,,0.43478260869565216,,,,,,,,,smoke_sampled
smoke_full_train_tiny,smoke,smoke,0.24561403508771928,,,0.5833333333333334,,0.24561403508771928,1.0,multiclass,hf-internal-testing/tiny-random-DebertaV2ForSequenceClassification,,pair,,smoke_sampled
smoke_reply_boundary_ensemble,smoke,smoke,0.7666666666666666,,,0.75,,,,,,,,,smoke_sampled
smoke_reply_boundary_external_weights_tiny,smoke,smoke,0.4,,,0.6666666666666666,,0.4,1.0,reply_boundary,hf-internal-testing/tiny-random-deberta-v2,answer_text,pair,,smoke_sampled
smoke_reply_boundary_robust_tiny,smoke,smoke,0.4,,,0.6666666666666666,,0.4,1.0,reply_boundary,hf-internal-testing/tiny-random-deberta-v2,answer_text,pair,,smoke_sampled
smoke_reply_boundary_tiny,smoke,smoke,0.25,,,0.3333333333333333,,0.25,1.0,reply_boundary,hf-internal-testing/tiny-random-deberta-v2,,pair,,smoke_sampled
smoke_tiny_transformer,smoke,smoke,0.07407407407407407,,,0.125,,0.07407407407407407,1.0,multiclass,hf-internal-testing/tiny-random-DebertaV2ForSequenceClassification,,pair,,smoke_sampled
split_robustness_analysis,analysis,internal_dev_only,,,,,,,,,,,,,unknown
tfidf_baseline,other,internal_dev_only,0.5208897528783959,,,0.6202898550724638,,,,,,,,,unknown
tfidf_baseline_final_diag,other,diagnostic,0.514809033472714,,0.38136308616857817,0.5898550724637681,0.538961038961039,,,,,,,,diagnostic_post_final
zero_shot_nli_directness_dev60_calibrated,zero_shot,internal_dev_only,0.5698818695428866,,,0.5166666666666667,,,,,MoritzLaurer/deberta-v3-base-zeroshot-v2.0,,zero_shot_directness,,diagnostic_zero_shot
zero_shot_nli_rubric_dev60_calibrated,zero_shot,internal_dev_only,0.5774423774423775,,,0.6333333333333333,,,,,MoritzLaurer/deberta-v3-base-zeroshot-v2.0,,zero_shot_rubric,,diagnostic_zero_shot
zero_shot_nli_smoke_dev6,smoke,smoke,0.1111111111111111,,,0.16666666666666666,,,,,MoritzLaurer/deberta-v3-base-zeroshot-v2.0,,zero_shot_directness,,smoke_sampled
zero_shot_nli_smoke_dev6_calibrated,smoke,smoke,0.6,,,0.5,,,,,MoritzLaurer/deberta-v3-base-zeroshot-v2.0,,zero_shot_directness,,smoke_sampled
